budget,policy_id,base_patient_count,masks_per_patient,masked_case_count,patient_trial_occurrence_count,initially_resolved_trial_occurrence_count,initially_unresolved_trial_occurrence_count,rescue_opportunity_count,confirmed_rescue_count,confirmed_rescue_rate,cleanup_opportunity_count,ineligible_cleanup_count,ineligible_cleanup_rate,final_state_agreement,final_state_match_count,mean_questions_per_masked_case,mean_route_cost_per_masked_case,unsafe_decision_count
0,no_questions,20,2,40,200,80,120,30.0,0.0,0.0,90.0,0.0,0.0,0.4,80.0,0,0,0
1,random_order_expectation,20,2,40,200,80,120,30.0,0.0,0.0,90.0,32.483333333333334,0.36092592592592593,0.5624166666666667,112.48333333333333,0.9,2.2175,0
1,clarifytrial_rule_v1,20,2,40,200,80,120,30.0,0.0,0.0,90.0,39.0,0.43333333333333335,0.595,119.0,0.9,2.3,0
1,clarifytrial_exact_coverage_v3,20,2,40,200,80,120,30.0,0.0,0.0,90.0,36.0,0.4,0.58,115.99999999999999,0.9,2.55,0
2,random_order_expectation,20,2,40,200,80,120,30.0,1.0666666666666667,0.035555555555555556,90.0,54.85,0.6094444444444445,0.6795833333333333,135.91666666666666,1.6741666666666666,4.150416666666667,0
2,clarifytrial_rule_v1,20,2,40,200,80,120,30.0,3.0,0.1,90.0,57.0,0.6333333333333333,0.7,140.0,1.6,4.05,0
2,clarifytrial_exact_coverage_v3,20,2,40,200,80,120,30.0,5.0,0.16666666666666666,90.0,47.0,0.5222222222222223,0.66,132.0,1.625,4.3,0
3,random_order_expectation,20,2,40,200,80,120,30.0,5.133333333333333,0.1711111111111111,90.0,71.4,0.7933333333333334,0.7826666666666666,156.53333333333333,2.335,5.80625,0
3,clarifytrial_rule_v1,20,2,40,200,80,120,30.0,13.0,0.43333333333333335,90.0,75.0,0.8333333333333334,0.84,168.0,2.2,5.525,0
3,clarifytrial_exact_coverage_v3,20,2,40,200,80,120,30.0,15.0,0.5,90.0,70.0,0.7777777777777778,0.825,165.0,2.225,5.825,0
