budget,candidate_policy_id,baseline_policy_id,metric,candidate_value,baseline_value,difference,bootstrap_95_lower,bootstrap_95_upper,base_patient_count,cluster_unit,strata,bootstrap_seed,bootstrap_resamples,wins,ties,losses,two_sided_exact_sign_test_p,bootstrap_draw_attempts
1,clarifytrial_rule_v1,random_order_expectation,final_state_agreement,0.595,0.5624166666666667,0.03258333333333333,-0.029668750000000004,0.09825208333333331,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,11,1,8,0.6476058959960938,
1,clarifytrial_rule_v1,random_order_expectation,mean_questions_per_masked_case,0.9,0.9,0.0,0.0,0.0,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,0,20,0,1.0,
1,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_rate,0.0,0.0,0.0,0.0,0.0,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5001
1,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_rate,0.43333333333333335,0.36092592592592593,0.07240740740740742,-0.06317460317460316,0.2241942808051052,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5000
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,final_state_agreement,0.5800000000000001,0.595,-0.014999999999999984,-0.07999999999999999,0.05000000000000002,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,3,14,3,1.0,
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,mean_questions_per_masked_case,0.9,0.9,0.0,0.0,0.0,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,0,20,0,1.0,
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_rate,0.0,0.0,0.0,0.0,0.0,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5001
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ineligible_cleanup_rate,0.4,0.43333333333333335,-0.033333333333333326,-0.18812172393709958,0.10529115341545317,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5000
2,clarifytrial_rule_v1,random_order_expectation,final_state_agreement,0.7,0.6795833333333333,0.02041666666666669,-0.026418749999999984,0.07125833333333323,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,11,1,8,0.6476058959960938,
2,clarifytrial_rule_v1,random_order_expectation,mean_questions_per_masked_case,1.6,1.6741666666666666,-0.07416666666666666,-0.14166666666666666,-0.012499999999999994,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,2,11,7,0.1796875,
2,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_rate,0.1,0.035555555555555556,0.06444444444444444,-0.005128205128205124,0.12381613756613748,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5001
2,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_rate,0.6333333333333333,0.6094444444444445,0.02388888888888885,-0.08831264775413704,0.14281742818584903,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260902,5000,,,,,5000
2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,final_state_agreement,0.66,0.7,-0.03999999999999999,-0.10999999999999999,0.020000000000000014,20,base_patient,breast_cancer;major_depressive_disorder;type_2_diabetes,20260830,5000,4,10,6,0.75390625,
