suite,evaluation_distribution,budget,candidate_policy_id,baseline_policy_id,mean_difference,ci_95_lower,ci_95_upper,exact_sign_p,wins,ties,losses,cluster_unit,cluster_count,random_baseline_definition,inference_scope
public_patient_profiles,heldout,1,widest_impact,random_order_expectation,0.05758333333333334,-0.016002083333333333,0.13851458333333314,0.6476058959960938,11,1,8,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,1,clarifytrial_rule_v1,random_order_expectation,0.03258333333333333,-0.029668750000000004,0.09825208333333331,0.6476058959960938,11,1,8,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,1,outcome_entropy,random_order_expectation,-0.01741666666666666,-0.07008333333333332,0.03933333333333336,0.359283447265625,7,1,12,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
synthetic_graph_stress,similar_heldout,1,widest_impact,random,0.12026417726816677,0.11420795585637965,0.1262740454768891,5.409183704427639e-108,1021,522,257,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,1,clarifytrial_rule_v1,random,0.1183380207721127,0.11221951824232139,0.12441977694383816,1.111375399611999e-101,1024,501,275,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,1,widest_impact,random,0.1101137395317829,0.10385307710391255,0.11636332452012231,8.270408034999434e-100,1007,522,271,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,1,clarifytrial_rule_v1,random,0.10756085288953479,0.10130496462547173,0.11382022689261738,2.0099876049244195e-85,994,501,305,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
public_patient_profiles,heldout,2,widest_impact,random_order_expectation,0.0404166666666667,-0.012333333333333304,0.09483541666666667,0.359283447265625,12,1,7,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,2,clarifytrial_rule_v1,random_order_expectation,0.02041666666666669,-0.026418749999999984,0.07125833333333323,0.6476058959960938,11,1,8,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,2,impact_per_cost,random_order_expectation,0.030416666666666693,-0.018335416666666653,0.08125000000000002,0.359283447265625,12,1,7,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
synthetic_graph_stress,similar_heldout,2,widest_impact,random,0.12257461348218565,0.1158451542776843,0.12921222709716268,1.1159556963633924e-153,1126,468,206,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,2,clarifytrial_rule_v1,random,0.12270134067181807,0.11600049491522875,0.12931706860967931,8.500116228655536e-147,1122,460,218,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,2,widest_impact,random,0.11323751889866004,0.10640118027172585,0.11998390679443702,5.4773497775409505e-121,1078,468,254,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,2,clarifytrial_rule_v1,random,0.11493754654629777,0.10813833687458389,0.12163104950938479,3.916372904175312e-127,1093,460,247,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
public_patient_profiles,heldout,3,widest_impact,random_order_expectation,0.052333333333333315,0.01091458333333331,0.09266666666666663,0.0308837890625,14,2,4,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,3,clarifytrial_rule_v1,random_order_expectation,0.05733333333333331,0.030414583333333307,0.08549999999999998,0.001312255859375,16,2,2,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
synthetic_graph_stress,similar_heldout,3,widest_impact,random,0.10617439975883966,0.0999971854861472,0.11249294026692405,5.188300140961683e-215,1152,532,116,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,3,clarifytrial_rule_v1,random,0.10552819005063585,0.09931914455680796,0.11186962319583649,3.8725342800573306e-210,1150,528,122,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,widest_impact,random,0.10427132710605662,0.09778058043641333,0.1107964936782466,9.575154333254897e-181,1115,532,153,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,clarifytrial_rule_v1,random,0.10432926494630827,0.09782178748831218,0.11087238148171519,4.389429357049407e-174,1110,528,162,synthetic_structure,1800,fixed seed; one random choice among currently relevant remaining facts at each step,declared synthetic graph generator
