metric,action_budget,candidate_policy_id,baseline_policy_id,disease_group_count,mean_disease_level_difference,minimum_disease_level_difference,maximum_disease_level_difference,wins,ties,losses,two_sided_exact_sign_test_p,interpretation_limit
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,0,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,0,clarifytrial_rule_v1,authored_order,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,0,clarifytrial_rule_v1,random_order_expectation,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,1,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.36500000000000005,0.08333333333333333,0.48888888888888893,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,1,clarifytrial_rule_v1,authored_order,10,0.13999999999999999,0.0,0.3333333333333333,6,4,0,0.03125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,1,clarifytrial_rule_v1,random_order_expectation,10,0.36500000000000005,0.08333333333333333,0.48888888888888893,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,2,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.26811111111111113,0.1788888888888889,0.32222222222222224,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,2,clarifytrial_rule_v1,authored_order,10,0.026666666666666672,0.0,0.20000000000000004,2,8,0,0.5,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,2,clarifytrial_rule_v1,random_order_expectation,10,0.26811111111111113,0.1788888888888889,0.32222222222222224,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,3,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,3,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.11988888888888889,0.008888888888888872,0.16666666666666666,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,3,clarifytrial_rule_v1,authored_order,10,0.013333333333333332,0.0,0.13333333333333333,1,9,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,3,clarifytrial_rule_v1,random_order_expectation,10,0.11988888888888889,0.008888888888888872,0.16666666666666666,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,4,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,4,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.06588888888888889,0.0,0.11333333333333333,8,2,0,0.0078125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,4,clarifytrial_rule_v1,authored_order,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,4,clarifytrial_rule_v1,random_order_expectation,10,0.06588888888888889,0.0,0.11333333333333333,8,2,0,0.0078125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,5,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,5,clarifytrial_exact_coverage_v3,random_order_expectation,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,5,clarifytrial_rule_v1,authored_order,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery,5,clarifytrial_rule_v1,random_order_expectation,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery_normalized_auc,,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,10,0.0,0.0,0.0,0,10,0,1.0,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery_normalized_auc,,clarifytrial_rule_v1,authored_order,10,0.036,0.0,0.09333333333333331,7,3,0,0.015625,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
trial_status_recovery_normalized_auc,,clarifytrial_rule_v1,random_order_expectation,10,0.16377777777777777,0.0866666666666666,0.2044444444444444,10,0,0,0.001953125,Direction check across the ten selected disease groups; does not include variation from new diseases or trial sets.
