action_budget,candidate_policy_id,baseline_policy_id,metric,patient_count,mean_difference,bootstrap_95_lower,bootstrap_95_upper,wins,ties,losses,preferred_direction,candidate_better_count,candidate_same_count,candidate_worse_count,two_sided_exact_sign_test_p
0,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.03444444444444445,0.01108333333333334,0.06111111111111112,5,25,0,higher,5,25,0,0.0625
1,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.17222222222222222,0.05541666666666672,0.3055555555555556,5,25,0,higher,5,25,0,0.0625
1,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_rule_v1,authored_order,trial_status_recovery,30,0.026666666666666672,0.0,0.06000000000000001,2,28,0,higher,2,28,0,0.5
1,clarifytrial_rule_v1,authored_order,confirmed_rescue_count,30,0.13333333333333333,0.0,0.3,2,28,0,higher,2,28,0,0.5
1,clarifytrial_rule_v1,authored_order,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_rule_v1,authored_order,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,random_order_expectation,trial_status_recovery,30,0.03444444444444445,0.01108333333333334,0.06111111111111112,5,25,0,higher,5,25,0,0.0625
1,clarifytrial_exact_coverage_v3,random_order_expectation,confirmed_rescue_count,30,0.17222222222222222,0.05541666666666672,0.3055555555555556,5,25,0,higher,5,25,0,0.0625
1,clarifytrial_exact_coverage_v3,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
