split,action_budget,policy_id,patient_count,trial_count,mean_trial_status_recovery,mean_candidate_status_recovery,mean_confirmation_status_recovery,mean_final_status_matches_out_of_five,rescue_opportunity_count,confirmed_rescue_count,confirmed_rescue_rate,cleanup_opportunity_count,ineligible_cleanup_count,ineligible_cleanup_rate,mean_action_count,total_unsafe_decisions,mean_affected_trials,mean_shared_fact_fraction_ge2
heldout,0,authored_order,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,0,clarifytrial_exact_coverage_v3,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,0,clarifytrial_rule_v1,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,0,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,0,random_order_expectation,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,1,authored_order,30,150,0.8533333333333334,1.0,0.8533333333333334,4.266666666666667,35.0,13.0,0.37142857142857144,0.0,0.0,,0.4666666666666667,0.0,1.45,0.175
heldout,1,clarifytrial_exact_coverage_v3,30,150,0.88,1.0,0.88,4.4,35.0,17.0,0.4857142857142857,0.0,0.0,,0.4666666666666667,0.0,1.45,0.175
heldout,1,clarifytrial_rule_v1,30,150,0.88,1.0,0.88,4.4,35.0,17.0,0.4857142857142857,0.0,0.0,,0.4666666666666667,0.0,1.45,0.175
heldout,1,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,1,random_order_expectation,30,150,0.8455555555555556,1.0,0.8455555555555556,4.227777777777778,35.0,11.833333333333334,0.3380952380952381,0.0,0.0,,0.4666666666666667,0.0,1.45,0.175
heldout,2,authored_order,30,150,0.9400000000000001,1.0,0.9400000000000001,4.7,35.0,26.0,0.7428571428571429,0.0,0.0,,0.8333333333333334,0.0,1.45,0.175
heldout,2,clarifytrial_exact_coverage_v3,30,150,0.9533333333333334,1.0,0.9533333333333334,4.766666666666667,35.0,28.0,0.8,0.0,0.0,,0.8333333333333334,0.0,1.45,0.175
heldout,2,clarifytrial_rule_v1,30,150,0.9533333333333334,1.0,0.9533333333333334,4.766666666666667,35.0,28.0,0.8,0.0,0.0,,0.8333333333333334,0.0,1.45,0.175
heldout,2,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,2,random_order_expectation,30,150,0.9377777777777778,1.0,0.9377777777777778,4.688888888888889,35.0,25.666666666666668,0.7333333333333334,0.0,0.0,,0.8333333333333334,0.0,1.45,0.175
heldout,3,authored_order,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,35.0,34.0,0.9714285714285714,0.0,0.0,,1.0333333333333334,0.0,1.45,0.175
heldout,3,clarifytrial_exact_coverage_v3,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,35.0,34.0,0.9714285714285714,0.0,0.0,,1.0333333333333334,0.0,1.45,0.175
heldout,3,clarifytrial_rule_v1,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,35.0,34.0,0.9714285714285714,0.0,0.0,,1.0333333333333334,0.0,1.45,0.175
heldout,3,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,3,random_order_expectation,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,35.0,34.0,0.9714285714285714,0.0,0.0,,1.0333333333333334,0.0,1.45,0.175
heldout,4,authored_order,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,4,clarifytrial_exact_coverage_v3,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,4,clarifytrial_rule_v1,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,4,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,4,random_order_expectation,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,5,authored_order,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,5,clarifytrial_exact_coverage_v3,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,5,clarifytrial_rule_v1,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
heldout,5,no_questions,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.45,0.175
heldout,5,random_order_expectation,30,150,1.0,1.0,1.0,5.0,35.0,35.0,1.0,0.0,0.0,,1.0666666666666667,0.0,1.45,0.175
