action_budget,missing_fact_count,patient_count,cluster_unit,strata,pair_count,bootstrap_seed,bootstrap_resamples,mean_difference,bootstrap_95_ci,wins,ties,losses,two_sided_exact_sign_test_p
0,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,10,0,1.0
0,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,20,0,1.0
1,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.44333333333333336,"{'lower': 0.44333333333333336, 'upper': 0.44333333333333336}",9,1,0,0.00390625
1,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.32583333333333336,"{'lower': 0.24183333333333334, 'upper': 0.40869166666666634}",18,2,0,7.62939453125e-06
2,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.3166666666666667,"{'lower': 0.3166666666666667, 'upper': 0.3166666666666667}",9,1,0,0.00390625
2,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.24383333333333332,"{'lower': 0.16033333333333333, 'upper': 0.32750416666666665}",15,5,0,6.103515625e-05
3,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,10,0,1.0
3,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.17983333333333335,"{'lower': 0.1029875, 'upper': 0.25533333333333336}",12,8,0,0.00048828125
4,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,10,0,1.0
4,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.09883333333333333,"{'lower': 0.0505, 'upper': 0.14566666666666667}",9,11,0,0.00390625
5,3,10,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",10,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,10,0,1.0
5,5,20,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",20,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,20,0,1.0
