action_budget,candidate_policy_id,baseline_policy_id,metric,patient_count,mean_difference,bootstrap_95_lower,bootstrap_95_upper,wins,ties,losses,preferred_direction,candidate_better_count,candidate_same_count,candidate_worse_count,two_sided_exact_sign_test_p
0,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_rule_v1,authored_order,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.36500000000000005,0.2946555555555556,0.4304472222222222,27,3,0,higher,27,3,0,1.4901161193847656e-08
1,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.4277777777777778,0.25777777777777783,0.5922222222222223,12,18,0,higher,12,18,0,0.00048828125
1,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,1.3972222222222224,1.112777777777778,1.6777916666666663,25,5,0,higher,25,5,0,5.960464477539063e-08
1,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_rule_v1,authored_order,trial_status_recovery,30,0.14,0.06666666666666667,0.21333333333333335,9,21,0,higher,9,21,0,0.00390625
1,clarifytrial_rule_v1,authored_order,confirmed_rescue_count,30,0.1,0.0,0.23333333333333334,2,28,0,higher,2,28,0,0.5
1,clarifytrial_rule_v1,authored_order,ineligible_cleanup_count,30,0.6,0.3,0.9,9,21,0,higher,9,21,0,0.00390625
1,clarifytrial_rule_v1,authored_order,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,random_order_expectation,trial_status_recovery,30,0.36500000000000005,0.2946555555555556,0.4304472222222222,27,3,0,higher,27,3,0,1.4901161193847656e-08
1,clarifytrial_exact_coverage_v3,random_order_expectation,confirmed_rescue_count,30,0.4277777777777778,0.25777777777777783,0.5922222222222223,12,18,0,higher,12,18,0,0.00048828125
1,clarifytrial_exact_coverage_v3,random_order_expectation,ineligible_cleanup_count,30,1.3972222222222224,1.112777777777778,1.6777916666666663,25,5,0,higher,25,5,0,5.960464477539063e-08
1,clarifytrial_exact_coverage_v3,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
