split,action_budget,policy_id,patient_count,trial_count,mean_trial_status_recovery,mean_candidate_status_recovery,mean_confirmation_status_recovery,mean_final_status_matches_out_of_five,rescue_opportunity_count,confirmed_rescue_count,confirmed_rescue_rate,cleanup_opportunity_count,ineligible_cleanup_count,ineligible_cleanup_rate,mean_action_count,total_unsafe_decisions,mean_affected_trials,mean_shared_fact_fraction_ge2
development,0,authored_order,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,0,clarifytrial_exact_coverage_v3,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,0,clarifytrial_rule_v1,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,0,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,0,random_order_expectation,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,1,authored_order,20,100,0.96,0.96,0.96,4.8,44.0,44.0,1.0,10.0,6.0,0.6,0.7,0.0,4.0,0.75
development,1,clarifytrial_exact_coverage_v3,20,100,0.96,0.96,0.96,4.8,44.0,44.0,1.0,10.0,6.0,0.6,0.7,0.0,4.0,0.75
development,1,clarifytrial_rule_v1,20,100,0.96,0.96,0.96,4.8,44.0,44.0,1.0,10.0,6.0,0.6,0.7,0.0,4.0,0.75
development,1,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,1,random_order_expectation,20,100,0.97,0.98,0.97,4.85,44.0,43.0,0.9772727272727273,10.0,8.0,0.8,0.7,0.0,4.0,0.75
development,2,authored_order,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,2,clarifytrial_exact_coverage_v3,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,2,clarifytrial_rule_v1,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,2,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,2,random_order_expectation,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.85,0.0,4.0,0.75
development,3,authored_order,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,3,clarifytrial_exact_coverage_v3,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,3,clarifytrial_rule_v1,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,3,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,3,random_order_expectation,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.85,0.0,4.0,0.75
development,4,authored_order,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,4,clarifytrial_exact_coverage_v3,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,4,clarifytrial_rule_v1,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,4,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,4,random_order_expectation,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.85,0.0,4.0,0.75
development,5,authored_order,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,5,clarifytrial_exact_coverage_v3,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,5,clarifytrial_rule_v1,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.9,0.0,4.0,0.75
development,5,no_questions,20,100,0.46,0.9,0.46,2.3,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.75
development,5,random_order_expectation,20,100,1.0,1.0,1.0,5.0,44.0,44.0,1.0,10.0,10.0,1.0,0.85,0.0,4.0,0.75
heldout,0,authored_order,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
