action_budget,shared_degree_group,shared_degree_threshold_mean_affected_trials,patient_count,mean_affected_trials,mean_shared_fact_fraction_ge2,cluster_unit,strata,pair_count,bootstrap_seed,bootstrap_resamples,mean_difference,bootstrap_95_ci,wins,ties,losses,two_sided_exact_sign_test_p
0,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,14,0,1.0
0,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,16,0,1.0
1,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.3504761904761905,"{'lower': 0.23238095238095238, 'upper': 0.4666666666666667}",12,2,0,0.00048828125
1,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.37770833333333337,"{'lower': 0.3304114583333334, 'upper': 0.4272916666666667}",15,1,0,6.103515625e-05
2,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.2835714285714286,"{'lower': 0.1661904761904762, 'upper': 0.40095238095238095}",10,4,0,0.001953125
2,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.25458333333333333,"{'lower': 0.19373958333333335, 'upper': 0.3141666666666667}",14,2,0,0.0001220703125
3,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.20142857142857143,"{'lower': 0.10639285714285715, 'upper': 0.29285714285714287}",9,5,0,0.00390625
3,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.048541666666666664,"{'lower': 0.0, 'upper': 0.11104166666666666}",3,13,0,0.25
4,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.11690476190476191,"{'lower': 0.05570833333333334, 'upper': 0.17714285714285713}",8,6,0,0.0078125
4,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.021249999999999998,"{'lower': 0.0, 'upper': 0.06375}",1,15,0,1.0
5,lower_shared,2.2,14,1.8571428571428572,0.2571428571428572,base_patient,"['acute_pancreatitis', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment']",14,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,14,0,1.0
5,higher_shared,2.2,16,2.7,0.475,base_patient,"['acute_pancreatitis', 'bladder_cancer', 'chronic_pancreatitis', 'lung_cancer', 'migraine', 'nephrotic_syndrome', 'ovarian_cancer', 'pulmonary_fibrosis', 'retinal_detachment', 'thyroid_eye_disease']",16,20260830,5000,0.0,"{'lower': 0.0, 'upper': 0.0}",0,16,0,1.0
