suite,subgroup_type,subgroup,evaluation_distribution,budget,candidate_policy_id,baseline_policy_id,candidate_score,baseline_score,difference,criterion_edge_count,shared_fact_count,all_trial_shared_fact_count,max_trials_per_fact,max_trial_coverage_fraction,shared_fact_edge_fraction
public_patient_profiles,disease,breast_cancer,heldout,1,widest_impact,random_order_expectation,0.7428571428571429,0.6792857142857143,0.06357142857142861,,,,,,
public_patient_profiles,disease,breast_cancer,heldout,1,clarifytrial_rule_v1,random_order_expectation,0.6857142857142857,0.6792857142857143,0.00642857142857145,,,,,,
public_patient_profiles,disease,major_depressive_disorder,heldout,1,widest_impact,random_order_expectation,0.4166666666666667,0.39083333333333337,0.02583333333333332,,,,,,
public_patient_profiles,disease,major_depressive_disorder,heldout,1,clarifytrial_rule_v1,random_order_expectation,0.4,0.39083333333333337,0.009166666666666656,,,,,,
public_patient_profiles,disease,type_2_diabetes,heldout,1,widest_impact,random_order_expectation,0.6714285714285715,0.5926190476190476,0.07880952380952388,,,,,,
public_patient_profiles,disease,type_2_diabetes,heldout,1,clarifytrial_rule_v1,random_order_expectation,0.6714285714285715,0.5926190476190476,0.07880952380952388,,,,,,
synthetic_graph_stress,graph_topology,chain,similar_heldout,1,widest_impact,random,0.20907389321080735,0.19912153955471926,0.009952353656088098,10,5,0,2,0.4,1.0
synthetic_graph_stress,graph_topology,chain,similar_heldout,1,clarifytrial_rule_v1,random,0.1915976100304457,0.19912153955471926,-0.007523929524273554,10,5,0,2,0.4,1.0
synthetic_graph_stress,graph_topology,chain,shifted_heldout,1,widest_impact,random,0.18801504418968562,0.18059801445995707,0.007417029729728547,10,5,0,2,0.4,1.0
synthetic_graph_stress,graph_topology,chain,shifted_heldout,1,clarifytrial_rule_v1,random,0.17177984139605748,0.18059801445995707,-0.008818173063899593,10,5,0,2,0.4,1.0
synthetic_graph_stress,graph_topology,cost_conflict,similar_heldout,1,widest_impact,random,0.39547191595190323,0.20708429680586216,0.18838761914604107,7,1,0,3,0.6,0.42857142857142855
synthetic_graph_stress,graph_topology,cost_conflict,similar_heldout,1,clarifytrial_rule_v1,random,0.39547191595190323,0.20708429680586216,0.18838761914604107,7,1,0,3,0.6,0.42857142857142855
synthetic_graph_stress,graph_topology,cost_conflict,shifted_heldout,1,widest_impact,random,0.38076867266433434,0.19574732182851856,0.18502135083581578,7,1,0,3,0.6,0.42857142857142855
synthetic_graph_stress,graph_topology,cost_conflict,shifted_heldout,1,clarifytrial_rule_v1,random,0.38076867266433434,0.19574732182851856,0.18502135083581578,7,1,0,3,0.6,0.42857142857142855
synthetic_graph_stress,graph_topology,fully_separated,similar_heldout,1,widest_impact,random,0.2,0.2,0.0,5,0,0,1,0.2,0.0
synthetic_graph_stress,graph_topology,fully_separated,similar_heldout,1,clarifytrial_rule_v1,random,0.2,0.2,0.0,5,0,0,1,0.2,0.0
synthetic_graph_stress,graph_topology,fully_separated,shifted_heldout,1,widest_impact,random,0.2,0.2,0.0,5,0,0,1,0.2,0.0
synthetic_graph_stress,graph_topology,fully_separated,shifted_heldout,1,clarifytrial_rule_v1,random,0.2,0.2,0.0,5,0,0,1,0.2,0.0
synthetic_graph_stress,graph_topology,fully_shared,similar_heldout,1,widest_impact,random,0.6052588619113383,0.1724237648299912,0.43283509708134704,9,1,1,5,1.0,0.5555555555555556
synthetic_graph_stress,graph_topology,fully_shared,similar_heldout,1,clarifytrial_rule_v1,random,0.6052588619113383,0.1724237648299912,0.43283509708134704,9,1,1,5,1.0,0.5555555555555556
synthetic_graph_stress,graph_topology,fully_shared,shifted_heldout,1,widest_impact,random,0.5378589663434663,0.14942248604204714,0.3884364803014192,9,1,1,5,1.0,0.5555555555555556
